Date,Fundamental Long-Biased Equity,Fundamental Market Neutral Equity,Fundamental Credit,Structured Credit,Diversified Multi-Strategy,Opportunistic MS,Global Macro,Quantitative
11/1/2006,0.029479507,-0.004609436,0.02166112,,0.016842344,0.034643997,,
12/1/2006,0.013083306,0.009680524,0.020175647,,0.019764491,0.026184012,,
1/1/2007,0.021866476,0.011745978,0.016809554,,0.018982082,0.028499526,,
2/1/2007,-0.000852221,0.021388284,0.011977517,,0.015869023,0.009021165,,
3/1/2007,0.014910738,-0.001379729,0.009527393,,0.015867657,0.036308018,,
4/1/2007,0.025204915,-0.011191767,0.015231831,,0.016371305,0.029561239,,
5/1/2007,0.035634169,0.000567558,0.020245143,,0.025904121,0.047047087,,
6/1/2007,-0.004074592,0.017695482,0.004836237,,0.011641439,-0.013164364,,
7/1/2007,0.000747161,0.032581305,-0.017338161,,0.007975303,-0.033182286,,
8/1/2007,-0.014321366,-0.007333163,-0.017360387,,-0.01223014,-0.034733659,,
9/1/2007,0.027333752,-0.006584881,0.021427831,,0.018076352,0.023432545,,
10/1/2007,0.042980558,0.016533593,0.032877801,,0.025132045,0.029060489,,
11/1/2007,-0.022076384,0.038860812,-0.032789905,,-0.008094425,-0.02648142,,
12/1/2007,0.012719288,-0.003528823,0.001624258,,0.006736614,-0.003542998,,
1/1/2008,-0.058966632,0.008425573,-0.043621829,,-0.019278031,-0.073400253,,
2/1/2008,0.013875442,0.026355811,0.007020648,,0.011386883,0.001337504,,
3/1/2008,-0.027248398,0.011841683,-0.020279196,,-0.021496502,-0.032593082,,
4/1/2008,0.032038943,-0.035284621,0.024888033,,0.0066501,0.022567309,,
5/1/2008,0.028609778,0.001557552,0.028177105,,0.017372776,0.038429366,,
6/1/2008,-0.04559372,0.043410965,-0.001665927,-0.017721419,-0.006263013,-0.056714065,,
7/1/2008,-0.025178004,0.009852632,-0.043836743,-0.020861924,-0.019734224,-0.035843972,,
8/1/2008,-0.011282394,-0.027020714,-0.01361265,-0.010987585,-0.013526468,0.004232901,,
9/1/2008,-0.107951575,-0.010552111,-0.119387842,-0.005740883,-0.085583773,-0.082073645,,
10/1/2008,-0.073929752,0.058691681,-0.169313124,-0.035183113,-0.085015902,-0.070601214,,
11/1/2008,-0.015601425,0.023285238,-0.112773053,-0.111922861,-0.062348857,-0.057600842,,
12/1/2008,0.000838338,-0.025544925,-0.062602888,-0.005723844,-0.02997212,-0.032598885,,
1/1/2009,0.008718953,0.025358687,0.01862665,0.023254796,0.021385807,-0.003208919,,
2/1/2009,0.000228846,0.026291203,-0.006637274,-0.021597803,-0.001556037,-0.045684814,,
3/1/2009,0.008958476,-0.023838472,-0.020413021,-0.012386711,0.001675965,0.017972972,,
4/1/2009,0.017381427,-0.070155805,0.049705313,0.03756803,0.014728702,0.018090588,,
5/1/2009,0.034131389,0.013413173,0.061869431,0.04009735,0.035694642,0.012536085,,
6/1/2009,0.00259951,-0.004989313,0.028698606,0.008521605,0.026631216,-0.007091297,,
7/1/2009,0.03796724,-0.030314591,0.043475531,0.089433112,0.027727205,0.063905282,,
8/1/2009,0.015524912,0.002882477,0.032343237,0.019518729,0.02046129,0.048320249,,
9/1/2009,0.02649093,-0.016782251,0.065837718,0.041224073,0.025323993,0.05207985,,
10/1/2009,-0.009406072,0.005416305,0.031669834,0.045903887,0.013069231,-0.011860762,,
11/1/2009,0.026834511,-0.004774989,0.018629847,-0.009664177,0.007899293,0.005751544,,
12/1/2009,0.015580265,-0.015830953,0.033681258,0.014113777,0.017320605,0.03281425,,
1/1/2010,-0.027230006,0.007219757,0.025727752,0.033852139,0.016234976,0.004780385,,
2/1/2010,0.012318424,-0.016932475,0.005934808,0.001573817,0.002553104,0.033314114,,
3/1/2010,0.029602913,-0.018145404,0.029649313,0.029977561,0.018539815,0.041441144,,
4/1/2010,0.0080649,-0.006372808,0.01982033,0.040817863,0.011190332,0.014025132,,
5/1/2010,-0.028680752,0.002621015,-0.023193834,-0.008717638,-0.017526808,-0.030766492,,
6/1/2010,-0.016419406,0.012284079,0.000914153,0.013226164,-0.006748787,-0.043873313,,
7/1/2010,0.022762744,-0.022801864,0.017001924,0.014912308,0.008918501,0.01277437,,
8/1/2010,-0.004684216,0.029225686,0.004571021,0.027886606,0.001515971,-0.009488485,,
9/1/2010,0.052454624,-0.02164837,0.01961374,0.024405928,0.017760573,0.040900484,,
